NAME	TITLE	SCORE	
FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	1.1935012	
CIT	citron rho-interacting serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1985]	1.1927606	
KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	1.1912788	
CPD	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	1.1886696	
RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	1.1882292	
LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	1.1878179	
COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	1.1809757	
UHRF2	ubiquitin like with PHD and ring finger domains 2 [Source:HGNC Symbol;Acc:HGNC:12557]	1.1790305	
GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]	1.1753848	
CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	1.1737776	
C4orf3	chromosome 4 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:19225]	1.1717998	
DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1.1712145	
GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	1.1687777	
NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	1.1593399	
IFI27L2	interferon alpha inducible protein 27 like 2 [Source:HGNC Symbol;Acc:HGNC:19753]	1.1589555	
ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	1.1504583	
RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	1.1465161	
CYSLTR2	cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274]	1.1439677	
CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	1.142751	
TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	1.1413639	
HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:HGNC:5034]	1.1336153	
PDCD1	programmed cell death 1 [Source:HGNC Symbol;Acc:HGNC:8760]	1.1320003	
TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	1.1291305	
COX7A2	cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]	1.1289115	
LTB4R	leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]	1.1267945	
TMEM256	transmembrane protein 256 [Source:HGNC Symbol;Acc:HGNC:28618]	1.1223	
ATP5IF1	ATP synthase inhibitory factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:871]	1.1215724	
PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	1.1169887	
DTL	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	1.1140771	
FAM117B	family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]	1.1140128	
RAB8B	RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]	1.1128703	
UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	1.1108166	
IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	1.1067564	
GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	1.1055802	
MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	1.1040393	
CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	1.0993199	
TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	1.0990797	
SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	1.0987571	
COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	1.097638	
GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	1.0959352	
NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	1.0925574	
